cd_bairro,ds_bairro,cd_municipio,sg_estado
76890000.0,SETOR 1,69010.0,RO
76890000.0,JD DOS ESTADOS,69010.0,RO
36506306.0,RES PIRES DA LUZ,31821.0,MG
36507330.0,CIDADE JARDIM,31821.0,MG
36502160.0,STA BERNADETE,31821.0,MG
36503000.0,JD INES GROPPO,31821.0,MG
96400030.0,LARANJEIRAS/CENTRO,51030.0,RS
96402030.0,MENINO DEUS,51030.0,RS
96401970.0,TARUMA,51030.0,RS
96405580.0,TARUMA,51030.0,RS
32678698.0,CAPELINHA,31085.0,MG
32661762.0,CAMPOS ELISEOS,31085.0,MG
32667002.0,GUANABARA,31085.0,MG
32671252.0,CHACARA,31085.0,MG
32661798.0,CAMPOS ELISEOS,31085.0,MG
32676434.0,LARANJEIRAS,31085.0,MG
32667114.0,GUANABARA,31085.0,MG
98700000.0,CENTRO,51139.0,RS
88521110.0,GUARUJA,47101.0,SC
88521200.0,GUARUJA,47101.0,SC
88509055.0,UNIVERSITARIO,47101.0,SC
99150000.0,CENTRO,51161.0,RS
59042360.0,NORDESTE,84000.0,RN
59066020.0,CANDELARIA,84000.0,RN
59108050.0,POTENGI,84000.0,RN
59014315.0,MAE LUIZA,84000.0,RN
59035515.0,QUINTAS,84000.0,RN
59070400.0,CIDADE DA ESPERANCA,84000.0,RN
59031170.0,ALECRIM,84000.0,RN
29170161.0,NOVA CARAPINA II,27199.0,ES
29160123.0,CARAPINA GRANDE,27199.0,ES
29160033.0,CARAPINA GRANDE,27199.0,ES
29172615.0,CASTELANDIA,27199.0,ES
29172819.0,VL NOVA DE COLARES,27199.0,ES
29178560.0,PLANALTO SERRANO,27199.0,ES
29168703.0,PLANICIE DA SERRA,27199.0,ES
29160009.0,CARAPINA GRANDE,27199.0,ES
29166084.0,BARCELONA,27199.0,ES
29169830.0,PITANGA,27199.0,ES
29172260.0,FEU ROSA,27199.0,ES
29169470.0,ELDORADO,27199.0,ES
29178400.0,PLANALTO SERRANO BLA,27199.0,ES
29162200.0,RES VISTA DO MESTRE,27199.0,ES
29172845.0,VL NOVA DE COLARES,27199.0,ES
29160054.0,CARAPINA GRANDE,27199.0,ES
29170209.0,NOVA CARAPINA II,27199.0,ES
29138204.0,NOVA BETHANIA,27225.0,ES
29137159.0,AREINHA,27225.0,ES
66690200.0,AGUAS LINDAS,91000.0,PA
66123670.0,SACRAMENTA,91000.0,PA
66615420.0,MARAMBAIA,91000.0,PA
66613070.0,SOUZA,91000.0,PA
66645215.0,CASTANHEIRA,91000.0,PA
66613710.0,SOUZA,91000.0,PA
66640190.0,MANGUEIRAO,91000.0,PA
66640365.0,MANGUEIRAO,91000.0,PA
66650430.0,COQUEIRO,91000.0,PA
66073640.0,GUAMA,91000.0,PA
66077186.0,TERRA FIRME,91000.0,PA
66650130.0,COQUEIRO,91000.0,PA
66670560.0,COQUEIRO,91000.0,PA
66120750.0,SACRAMENTA,91000.0,PA
66070270.0,MARCO,91000.0,PA
66110190.0,MARACANGALHA,91000.0,PA
66123420.0,SACRAMENTA,91000.0,PA
66670030.0,COQUEIRO,91000.0,PA
66030250.0,JURUNAS,91000.0,PA
66087050.0,CJ PARAISO PASSAROS,91000.0,PA
66087270.0,PEDREIRA,91000.0,PA
66023530.0,CAMPINA,91000.0,PA
66670455.0,COQUEIRO,91000.0,PA
66623190.0,MARAMBAIA,91000.0,PA
66050710.0,UMARIZAL,91000.0,PA
66830505.0,TAPANA ICOARACI,91000.0,PA
66110055.0,MARACANGALHA,91000.0,PA
66083260.0,PEDREIRA,91000.0,PA
66820595.0,TENONE,91000.0,PA
67115000.0,COQUEIRO,91000.0,PA
66117010.0,BARREIRO,91000.0,PA
66615005.0,MARAMBAIA,91000.0,PA
66095350.0,MARCO,91000.0,PA
66823071.0,COQUEIRO,91000.0,PA
66833510.0,TAPANA ICOARACI,91000.0,PA
66640520.0,MANGUEIRAO,91000.0,PA
76964340.0,VILLAGE DO SOL,69003.0,RO
86188420.0,JD ANA ELIZA,41111.0,PR
86191520.0,JARDIM BOA VISTA,41111.0,PR
86183690.0,PRQ RES ANA ROSA,41111.0,PR
92130210.0,NITEROI,51062.0,RS
92330390.0,MATHIAS VELHO,51062.0,RS
92440546.0,GUAJUVIRAS,51062.0,RS
92340330.0,MATHIAS VELHO,51062.0,RS
92200421.0,RIO BRANCO,51062.0,RS
92030490.0,ESTANCIA VELHA,51062.0,RS
92200480.0,RIO BRANCO,51062.0,RS
92330310.0,MATHIAS VELHO,51062.0,RS
92130010.0,NITEROI,51062.0,RS
92310150.0,CENTRO,51062.0,RS
92440274.0,GUAJUVIRAS,51062.0,RS
92200702.0,RIO BRANCO,51062.0,RS
92440565.0,GUAJUVIRAS,51062.0,RS
92130290.0,NITEROI,51062.0,RS
92200714.0,FATIMA,51062.0,RS
92441160.0,GUAJUVIRAS,51062.0,RS
93260190.0,CENTRO,51110.0,RS
93290450.0,SANTO INACIO,51110.0,RS
93295440.0,PRIMAVERA/NAZARENO,51110.0,RS
93265141.0,LIBERDADE,51110.0,RS
77403020.0,SETOR CENTRAL,64054.0,TO
63500074.0,CENTRO,85226.0,CE
63504050.0,SETE DE SETEMBRO,85226.0,CE
75803110.0,VL FATIMA,62104.0,GO
78320000.0,MODULO V,67300.0,MT
78320000.0,ST INDUSTRIAL,67300.0,MT
37203526.0,RETIRO,31436.0,MG
37200010.0,CENTRO,31436.0,MG
69084452.0,ZUMBI DOS PALMARES,92000.0,AM
69089160.0,ARMANDO MENDES,92000.0,AM
69041335.0,TARUMA,92000.0,AM
69095634.0,CIDADE NOVA,92000.0,AM
69070490.0,EDUCANDOS,92000.0,AM
69041175.0,TARUMA,92000.0,AM
69054762.0,PRQ 10 DE NOVEMBRO,92000.0,AM
69090757.0,CIDADE NOVA,92000.0,AM
69090820.0,CIDADE NOVA,92000.0,AM
69041680.0,TARUMA,92000.0,AM
