cd_municipio,ds_municipio,sg_estado
69010.0,JARU,RO
31821.0,UBÁ,MG
51030.0,BAGÉ,RS
31085.0,BETIM,MG
51139.0,IJUÍ,RS
47101.0,LAGES,SC
51161.0,MARAU,RS
84000.0,NATAL,RN
27199.0,SERRA,ES
27225.0,VIANA,ES
91000.0,BELÉM,PA
69003.0,CACOAL,RO
41111.0,CAMBÉ,PR
51062.0,CANOAS,RS
51110.0,ESTEIO,RS
64054.0,GURUPI,TO
85226.0,IGUATU,CE
62104.0,JATAÍ,GO
67300.0,JUÍNA,MT
31436.0,LAVRAS,MG
92000.0,MANAUS,AM
81103.0,OLINDA,PE
64000.0,PALMAS,TO
81000.0,RECIFE,PE
85480.0,SOBRAL,CE
79000.0,ARACAJU,SE
41055.0,ASTORGA,PR
47031.0,BRUSQUE,SC
81042.0,CARUARU,PE
41161.0,COLOMBO,PR
67000.0,CUIABÁ,MT
51102.0,ERECHIM,RS
62333.0,FORMOSA,GO
51131.0,GUAÍBA,RS
71291.0,ILHÉUS,BA
31364.0,ITABIRA,MG
71314.0,ITABUNA,BA
47089.0,ITAJAÍ,SC
51153.0,LAJEADO,RS
96000.0,MACAPÁ,AP
82000.0,MACEIÓ,AL
91049.0,MARABÁ,PA
21165.0,MARICÁ,RJ
31500.0,MURIAÉ,MG
47131.0,PALHOCA,SC
51202.0,PELOTAS,RS
41486.0,PINHAIS,PR
21239.0,RESENDE,RJ
31803.0,TIMOTEO,MG
51317.0,VIAMÃO,RS
69020.0,VILHENA,RO
51005.0,ALEGRETE,RS
51009.0,ALVORADA,RS
32480.0,ARAGUARI,MG
21013.0,ARARUAMA,RJ
47027.0,BLUMENAU,SC
11135.0,CAMPINAS,SP
41135.0,CASCAVEL,PR
62044.0,CATALÃO,GO
47046.0,CHAPECÓ,SC
31856.0,CONTAGEM,MG
66050.0,CORUMBÁ,MS
41000.0,CURITIBA,PR
67026.0,CÁCERES,MT
66058.0,DOURADOS,MS
62000.0,GOIÂNIA,GO
41277.0,IBIPORÃ,PR
31361.0,IPATINGA,MG
21139.0,ITAGUAÍ,RJ
66091.0,MARACAJU,MS
41389.0,MARINGÁ,PR
41399.0,MATINHOS,PR
21169.0,MESQUITA,RJ
84049.0,MOSSORÓ,RN
21188.0,NITERÓI,RJ
32556.0,PARACATU,MG
71000.0,SALVADOR,BA
11609.0,SOROCABA,SP
86000.0,TERESINA,PI
62191.0,TRINDADE,GO
47199.0,TUBARÃO,SC
41711.0,UMUARAMA,PR
21316.0,VALENÇA,RJ
31831.0,VARGINHA,MG
27000.0,VITÓRIA,ES
62009.0,ANÁPOLIS,GO
41041.0,APUCARANA,PR
82003.0,ARAPIRACA,AL
41043.0,ARAPONGAS,PR
71067.0,BARREIRAS,BA
95000.0,BOA VISTA,RR
61053.0,BRASÍLIA,DF
61007.0,BRASÍLIA,DF
61000.0,BRASÍLIA,DF
61010.0,BRASÍLIA,DF
61005.0,BRASÍLIA,DF
61009.0,BRASÍLIA,DF
61004.0,BRASÍLIA,DF
61003.0,BRASÍLIA,DF
61050.0,BRASÍLIA,DF
61001.0,BRASÍLIA,DF
61012.0,BRASÍLIA,DF
61051.0,BRASÍLIA,DF
61013.0,BRASÍLIA,DF
